Ticker,Close,ADV_3M,Annualized_Vol,RSI_14,SMA30,High_52W,CMF_20,SMA21,SMA200,Market_Cap,Shares_Outstanding,Pass_MarketCap,Pass_Liquidity,Pass_Volatility,Pass_RSI,Pass_TrendSupport,Pass_Proximity52W,Pass_CMF,Passes_Funnel,Momentum_Score,Rank
STLTECH.NS,568.4000244140625,6218769.507936508,0.6470412683049195,63.98306403069904,467.9433298746745,651.5999755859375,0.13096571332837445,516.009520031157,188.2245992279053,277474495652.15515,488167635.0,True,True,True,True,True,True,True,True,1.7414563353983534,1
HFCL.NS,163.67999267578125,54879239.603174604,0.4438441995593186,52.50589908546877,158.4353335062663,199.41000366210938,0.07840918210311378,166.8414277576265,85.91157644271851,250473545151.8542,1530263663.0,True,True,True,True,True,True,True,True,0.9420133428568606,2
JNKINDIA.NS,470.0,1143168.4444444445,0.508358521616727,67.9095583130306,383.68699747721354,498.0,0.31035350699499903,392.3333304268973,282.41034111022947,26298340050.0,55953915.0,True,True,True,True,True,True,True,True,0.38923145974234374,3
LAURUSLABS.NS,1390.800048828125,1994934.8253968253,0.2920877389097124,61.28381865800638,1324.0255249023437,1446.800048828125,0.2338538184569102,1374.6380964006696,1041.7189959716798,751379146415.7742,540249583.0,True,True,True,True,True,True,True,True,0.31958628163294106,4
SYRMA.NS,1235.5999755859375,1524131.3015873015,0.41171832546723447,71.05144634998135,1090.7883443196615,1256.800048828125,0.21691337079083164,1105.307160877046,845.2481796264649,238007416878.44177,192624977.0,True,True,True,True,True,True,True,True,0.307671743659368,5
GRANULES.NS,763.1500244140625,1290111.3015873015,0.2960121847543164,54.9533789520271,754.8466634114583,793.7999877929688,0.003200597331541728,765.9547584170386,601.0094995117188,189106226310.87952,247796921.0,True,True,True,True,True,True,True,True,0.274447007974628,6
MARKSANS.NS,249.8300018310547,2488419.8412698414,0.39434230601492504,65.5688864746564,221.64266560872395,262.6230163574219,0.17079850763936727,232.84047517322358,184.24649955749513,113213899492.9476,453163746.0,True,True,True,True,True,True,True,True,0.26374436275552926,7
HSCL.NS,680.0499877929688,9095031.714285715,0.33620559972205494,67.60989049933801,617.245772298177,693.0,0.18013791998399709,617.2623000372024,488.95193405151366,343113508240.99493,504541599.0,True,True,True,True,True,True,True,True,0.2624191808026892,8
BHARATFORG.NS,1942.9000244140625,1273222.5555555555,0.28932606407804073,55.28689753855926,1920.480000813802,1992.9000244140625,0.01192211011912089,1919.9095226469494,1545.2307556152343,928878414784.8857,478088632.0,True,True,True,True,True,True,True,True,0.24247431373609735,9
ADANIENT.NS,2908.800048828125,2615091.587301587,0.3400999166234002,60.51612948922409,2753.3100016276044,3048.199951171875,0.0890945487512017,2870.4714471726193,2332.264458618164,3789400646381.3916,1302736724.0,True,True,True,True,True,True,True,True,0.23076584928680674,10
